N,Constituency,Date,Time,InterviewLocation,FutureContact,Age,Sex,PhoneWorks,StateStatus,StateHeaded,CentralGovtPerformance,StateGovtPerformance,VotedLokSabha2019,VotedAssembly2015,ImportantProblem,GovtResponsibleProblem,PartySolveProblem,CampaignInterest,UsedPhone,UsedPhoneSMS,UsedPhoneEmail,UsedPhoneSocialMedia,UsedPhoneVideo,UsedPhoneNewsSites,UsedPhoneInformation,UsedPhoneEducation,UsedPhoneWhatssapp,SocialMediaContactNDA,SocialMediaContactUPA,SocialMediaContactLJP,SocialMediaContactOthers,SocialMediaContactInd,PhoneContactNDA,PhoneContactUPA,PhoneContactLJP,PhoneContactOthers,PhoneContactInd,SMSContactNDA,SMSContactUPA,SMSContactLJP,SMSContactOthers,SMSContactIndependent,WhatsappContactNDA,WhatsappContactUPA,WhatsappContactLJP,WhatsappContactOthers,WhatsappContactIndependent,F2FHomeContactNDA,F2FHomeContactUPA,F2FHomeContactLJP,F2FHomeContactOthers,F2FHomeContactIndependent,F2FStreetContactNDA,F2FStreetContactUPA,F2FStreetContactLJP,F2FStreetContactOthers,F2FStreetContactIndependent,RoadshowContactBJP,RoadshowContactUPA,RoadshowContactLJP,RoadshowContactOthers,RoadshowContactInd,EmailContactNDA,EmailContactUPA,EmailContactLJP,EmailContactOthers,EmailContactInd,NewsConsumptionNewspapers,NewsConsumptionTV,NewsConsumptionRadio,NewsConsumptionSMS,NewsConsumptionSocialMedia,NewsConsumptionWhatsapp,NewsConsumptionCampaignEmails,NewsConsumptionPamphlets,NewsConsumptionPosters,NewsConsumptionF2F,NewsConsumptionInternet,NewsConsumptionYoutube,NewsConsumptionPhonecall,NewsConsumptionFamily,NewsSharingSocialMedia,NewsSharingSMS,NewsSharingWhatsapp,NewsSharingEmail,NewsSharingF2F,AttentiontoNews,BJPNegativeCampaign,RecirculatedNDA,RecirculatedUPA,RecirculatedLJP,RecirculatedOthers,RecirculatedInd,CreatedNDA,CreatedUPA,CreatedLJP,CreatedOthers,CreatedInd,CommentedNDA,CommentedUPA,CommentedLJP,CommentedOthers,CommentedInd,PostedNDA,PostedUPA,PostedLJP,PostedOthers,PostedInd,RalliesNDA,RalliesUPA,RalliesLJP,RalliesOthers,RalliesInd,MeetingsNDA,MeetingsUPA,MeetingsLJP,MeetingsOthers,MeetingsInd,BJPPolicyRamTemple,BJPPolicyCAA,BJPPolicyReservation,BJPPolicyGauRaksha,BJPPolicyChineseApps,BJPPolicyJEENEEET,BJPPolicyLockdown,BJPPolicyCovid,PerformanceLeaderModi,PerformanceLeaderGandhi,PerformanceLeaderYadav,PerformanceLeaderKumar,PerformanceLeaderMajhi,PerformanceLeaderSushilModi,PerformanceLeaderPaswan,PerformanceLeaderKushwaha,PerformancePartyNDA,PerformancePartyUPA,PerformancePartyLJP,PerformancePartyOther,PerformmancePartyInd,Religion,Caste,OrganisationMember,OrganisationName,BirthYear,HouseholdIncome,WhatsappGroups,Flooding
1,Bikram,10/18/2020,12:53:00,Bihita,191,1,35,1,3,1,3,4,1,2,Un employment,1,3,3,2,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,3,3,2,3,2,3,2,3,2,3,3,2,2,1,1,1,1,1,3,3,88,88,3,4,88,3,4,2,4,1,88,3,3,88,3,88,3,4,3,88,88,88,88,88,3,2,3,1,1,88,88,88,88,88,1,1,1,1,1,4,2,1,1,1,3,3,4,1,1,4,3,3,3,3,3,2,2,3,5,3,4,2,1,5,2,3,4,4,88,88,1,2,1,NA,1985,20000,1,0
2,Barhara,10/18/2020,13:15:00,Bihita,193,2,20,1,4,1,3,4,1,2,Un employment,2,2,3,2,1,0,1,1,1,1,1,1,2,3,3,88,88,88,88,88,88,88,88,88,88,88,88,88,3,2,88,88,3,2,2,88,88,3,2,3,88,88,3,2,3,88,88,88,88,88,88,88,3,4,1,1,3,3,1,3,2,3,1,1,1,3,3,1,3,1,4,4,2,88,88,88,88,88,2,3,3,88,2,2,3,2,88,88,1,1,1,1,1,3,2,1,1,1,2,3,3,1,2,88,3,3,3,4,3,2,2,2,5,4,5,2,1,4,2,3,2,3,5,5,1,2,1,NA,2000,15000,1,0
3,Bikram,10/18/2020,13:42:00,Bihita,191,1,25,1,4,1,5,4,1,1,Education,2,1,2,2,1,0,1,1,1,1,1,1,4,1,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,3,3,4,88,88,4,4,4,88,88,3,2,3,88,88,88,88,88,88,88,2,3,88,88,2,2,3,2,3,3,1,1,1,4,2,1,2,1,1,3,3,88,88,88,88,88,3,3,2,88,88,1,1,1,1,1,88,88,88,88,88,4,2,88,88,88,3,4,3,88,88,4,3,2,3,3,2,3,2,2,3,4,2,2,2,3,2,3,2,3,5,5,1,4,1,NA,1995,15000,3,0
4,Danapur,10/18/2020,13:59:00,Boring Road,186,2,27,1,3,2,3,4,1,1,Robbery,2,1,2,2,1,0,1,1,0,0,0,1,88,1,88,3,88,88,4,4,88,88,3,4,88,88,4,4,88,4,88,88,88,4,4,88,88,88,4,88,4,4,2,88,4,4,4,4,3,3,88,4,3,2,2,3,3,3,1,3,1,3,1,2,3,2,3,3,1,1,3,1,2,1,88,2,1,1,1,3,88,1,1,3,88,2,1,1,1,1,1,2,2,1,1,1,2,2,2,1,2,2,1,4,4,3,4,4,3,3,4,4,2,2,2,1,2,3,2,4,4,3,4,4,1,4,2,1,1993,25000,1,0
5,Bikram,10/18/2020,14:14:00,Bihita,191,1,38,1,3,1,3,4,2,2,Un employment,1,2,2,2,1,0,0,0,0,0,0,0,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,3,2,3,88,88,3,2,3,88,88,2,1,3,88,88,88,88,88,88,88,3,2,88,88,1,88,88,3,2,3,88,88,88,88,1,88,88,88,3,2,2,88,88,88,88,88,3,4,2,88,88,1,1,1,1,1,88,88,88,88,88,88,88,88,88,99,2,5,3,88,88,4,2,4,3,4,4,2,2,2,4,1,2,1,1,3,2,3,5,4,88,88,1,4,1,NA,1982,20000,1,0
6,Barhara,10/18/2020,14:29:00,Bihita,193,2,40,1,3,1,4,4,1,1,Un employment,2,1,4,2,1,0,1,1,1,0,1,0,3,3,4,88,88,88,88,88,88,88,1,1,1,1,1,2,1,2,1,1,2,2,3,88,88,2,2,3,1,1,3,2,3,1,1,1,1,1,1,1,4,3,88,88,88,3,88,3,2,4,88,88,88,88,3,88,3,88,88,88,88,88,88,88,88,88,3,2,3,88,88,3,4,4,88,88,88,88,88,88,88,4,3,88,88,88,3,4,4,88,3,4,3,2,2,3,3,2,3,4,3,3,2,2,2,3,2,5,4,4,88,88,1,1,1,NA,1980,30000,1,0
7,Bikram,10/18/2020,14:41:00,Bihita,191,1,32,2,3,1,3,2,1,2,Inflation,2,3,4,2,1,0,1,1,1,1,1,0,4,1,3,1,1,1,1,2,1,1,1,1,1,1,1,2,3,3,1,1,2,2,3,1,1,3,3,3,1,1,2,1,3,1,1,1,1,1,1,1,1,2,1,1,3,3,1,4,3,3,88,88,88,3,2,1,4,1,3,4,4,1,1,2,88,1,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,2,4,1,1,4,3,3,4,4,3,1,2,3,4,3,2,2,1,4,2,3,4,2,88,88,1,2,1,NA,1988,20000,3,0
8,Barhara,10/18/2020,15:03:00,Bihita,193,2,21,1,3,2,2,2,2,2,Un employment,1,2,2,2,1,0,1,1,0,1,1,0,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,3,1,1,3,2,3,1,1,2,2,2,1,1,2,3,2,1,1,1,1,1,1,1,2,3,1,1,2,3,1,5,4,3,1,2,1,1,2,1,3,1,3,4,3,1,1,1,1,1,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,1,1,3,5,3,1,1,4,3,3,4,4,4,1,3,2,4,3,2,1,1,4,3,3,4,2,2,2,1,1,1,NA,1999,20000,1,0
9,Bikram,10/18/2020,15:19:00,Bihita,191,2,20,1,3,2,2,2,2,2,Un employment,2,2,3,2,1,1,1,1,1,1,1,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,2,3,2,1,1,2,3,2,1,2,2,2,2,1,1,1,1,1,1,1,2,3,1,1,4,4,2,3,2,3,1,1,1,1,3,1,2,1,1,3,3,3,4,3,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,4,3,1,1,2,5,3,88,88,4,2,4,3,2,3,2,1,1,5,1,2,1,1,2,1,2,4,2,1,1,1,4,1,NA,2000,35000,1,0
10,Bikram,10/18/2020,15:36:00,Bihita,191,1,36,2,4,1,4,5,1,2,Poverty,88,88,1,2,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,3,88,88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,1,1,4,88,88,3,4,88,1,3,2,4,4,2,1,2,4,2,3,3,2,2,4,1,2,1,NA,1984,10000,88,0
