C1,C2,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C140,C141,C142,C143,C144,C145,C146,C147,C148,C149,C150
1,Bikram,10/18/2020,12:53:00,Bihita,191,1,35,1,3,1,3,4,1,2,Un employment,1,3,3,2,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,3,3,2,3,2,3,2,3,2,3,3,2,2,1,1,1,1,1,3,3,88,88,3,4,88,3,4,2,4,1,88,3,3,88,3,88,3,4,3,88,88,88,88,88,3,2,3,1,1,88,88,88,88,88,1,1,1,1,1,4,2,1,1,1,3,3,4,1,1,4,3,3,3,3,3,2,2,3,5,3,4,2,1,5,2,3,4,4,88,88,1,2,1,,1985,20000,1
2,Barahra,10/18/2020,13:15:00,Bihita,193,2,20,1,4,1,3,4,1,2,Un employment,2,2,3,2,1,0,1,1,1,1,1,1,2,3,3,88,88,88,88,88,88,88,88,88,88,88,88,88,3,2,88,88,3,2,2,88,88,3,2,3,88,88,3,2,3,88,88,88,88,88,88,88,3,4,1,1,3,3,1,3,2,3,1,1,1,3,3,1,3,1,4,4,2,88,88,88,88,88,2,3,3,88,2,2,3,2,88,88,1,1,1,1,1,3,2,1,1,1,2,3,3,1,2,88,3,3,3,4,3,2,2,2,5,4,5,2,1,4,2,3,2,3,5,5,1,2,1,,2000,15000,1
3,Bikram,10/18/2020,13:42:00,Bihita,191,1,25,1,4,1,5,4,1,1,Education,2,1,2,2,1,0,1,1,1,1,1,1,4,1,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,3,3,4,88,88,4,4,4,88,88,3,2,3,88,88,88,88,88,88,88,2,3,88,88,2,2,3,2,3,3,1,1,1,4,2,1,2,1,1,3,3,88,88,88,88,88,3,3,2,88,88,1,1,1,1,1,88,88,88,88,88,4,2,88,88,88,3,4,3,88,88,4,3,2,3,3,2,3,2,2,3,4,2,2,2,3,2,3,2,3,5,5,1,4,1,,1995,15000,3
4,Danapur,10/18/2020,13:59:00,Boring Road,186,2,27,1,3,2,3,4,1,1,Robbery,2,1,2,2,1,0,1,1,0,0,0,1,88,1,88,3,88,88,4,4,88,88,3,4,88,88,4,4,88,4,88,88,88,4,4,88,88,88,4,88,4,4,2,88,4,4,4,4,3,3,88,4,3,2,2,3,3,3,1,3,1,3,1,2,3,2,3,3,1,1,3,1,2,1,88,2,1,1,1,3,88,1,1,3,88,2,1,1,1,1,1,2,2,1,1,1,2,2,2,1,2,2,1,4,4,3,4,4,3,3,4,4,2,2,2,1,2,3,2,4,4,3,4,4,1,4,2,1,1993,25000,1
5,Bikram,10/18/2020,14:14:00,Bihita,191,1,38,1,3,1,3,4,2,2,Un employment,1,2,2,2,1,0,0,0,0,0,0,0,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,3,2,3,88,88,3,2,3,88,88,2,1,3,88,88,88,88,88,88,88,3,2,88,88,1,88,88,3,2,3,88,88,88,88,1,88,88,88,3,2,2,88,88,88,88,88,3,4,2,88,88,1,1,1,1,1,88,88,88,88,88,88,88,88,88,99,2,5,3,88,88,4,2,4,3,4,4,2,2,2,4,1,2,1,1,3,2,3,5,4,88,88,1,4,1,,1982,20000,1
6,Barahra,10/18/2020,14:29:00,Bihita,193,2,40,1,3,1,4,4,1,1,Un employment,2,1,4,2,1,0,1,1,1,0,1,0,3,3,4,88,88,88,88,88,88,88,1,1,1,1,1,2,1,2,1,1,2,2,3,88,88,2,2,3,1,1,3,2,3,1,1,1,1,1,1,1,4,3,88,88,88,3,88,3,2,4,88,88,88,88,3,88,3,88,88,88,88,88,88,88,88,88,3,2,3,88,88,3,4,4,88,88,88,88,88,88,88,4,3,88,88,88,3,4,4,88,3,4,3,2,2,3,3,2,3,4,3,3,2,2,2,3,2,5,4,4,88,88,1,1,1,,1980,30000,1
7,Bikram,10/18/2020,14:41:00,Bihita,191,1,32,2,3,1,3,2,1,2,Inflation,2,3,4,2,1,0,1,1,1,1,1,0,4,1,3,1,1,1,1,2,1,1,1,1,1,1,1,2,3,3,1,1,2,2,3,1,1,3,3,3,1,1,2,1,3,1,1,1,1,1,1,1,1,2,1,1,3,3,1,4,3,3,88,88,88,3,2,1,4,1,3,4,4,1,1,2,88,1,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,2,4,1,1,4,3,3,4,4,3,1,2,3,4,3,2,2,1,4,2,3,4,2,88,88,1,2,1,,1988,20000,3
8,Barahra,10/18/2020,15:03:00,Bihita,193,2,21,1,3,2,2,2,2,2,Un employment,1,2,2,2,1,0,1,1,0,1,1,0,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,3,1,1,3,2,3,1,1,2,2,2,1,1,2,3,2,1,1,1,1,1,1,1,2,3,1,1,2,3,1,5,4,3,1,2,1,1,2,1,3,1,3,4,3,1,1,1,1,1,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,1,1,3,5,3,1,1,4,3,3,4,4,4,1,3,2,4,3,2,1,1,4,3,3,4,2,2,2,1,1,1,,1999,20000,1
9,Bikram,10/18/2020,15:19:00,Bihita,191,2,20,1,3,2,2,2,2,2,Un employment,2,2,3,2,1,1,1,1,1,1,1,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,2,3,2,1,1,2,3,2,1,2,2,2,2,1,1,1,1,1,1,1,2,3,1,1,4,4,2,3,2,3,1,1,1,1,3,1,2,1,1,3,3,3,4,3,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,4,3,1,1,2,5,3,88,88,4,2,4,3,2,3,2,1,1,5,1,2,1,1,2,1,2,4,2,1,1,1,4,1,,2000,35000,1
10,Bikram,10/18/2020,15:36:00,Bihita,191,1,36,2,4,1,4,5,1,2,Poverty ,88,88,1,2,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,3,88,88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,1,1,4,88,88,3,4,88,1,3,2,4,4,2,1,2,4,2,3,3,2,2,4,1,2,1,,1984,10000,88
