OriginalColumn,RenamedColumn
S.No.,N
QB1. Name of the constituency,Constituency
QB5A. Date ,Date
QB5A. Time,Time
QB5B. Place of Interview ,InterviewLocation
QC1. Would you be willing to be contacted through mobile/e-mail for future research?,FutureContact
QC1A. Respondent’s Age,Age
QC3C. . Sex of the respondent,Sex
QD. Please check that respondent’s mobile no. is working,PhoneWorks
"QD1A. In your view, how are things going in the state right now?",StateStatus
QD1B. Do you think the state is generally,StateHeaded
Q2A. Now I’d like to ask you about how satisfied you are with the performance of the current national and state governments to date. a. Central Government,CentralGovtPerformance
Q2B. Now I’d like to ask you about how satisfied you are with the performance of the current national and state governments to date. b. State Government,StateGovtPerformance
Q3A. Which party did you vote for in the last LokSabha election (2019)?  ,VotedLokSabha2019
Q3B. Which party did you vote for in the last Assembly election (2015)?,VotedAssembly2015
"Q4A. As far as you're concerned, what is the SINGLE MOST important problemyou are facing at the present time?",ImportantProblem
Q4B. Whatlevel of government has the main responsibility for the most important problem you are facing?,GovtResponsibleProblem
Q4C. Which political party/coalition do you think would be best at dealing with the most important problem you are facing?,PartySolveProblem
Q5. Now let us talk about the campaign for the Assembly elections. How interested are you in the campaign,CampaignInterest
Q6. Have you ever used a mobile phone to.,UsedPhone
Q6A. to text/SMS,UsedPhoneSMS
Q6B. to check emails,UsedPhoneEmail
Q6C. to access social media websites,UsedPhoneSocialMedia
Q6D. to watch video,UsedPhoneVideo
Q6E. to browse news sites,UsedPhoneNewsSites
Q6F. find information related to your work,UsedPhoneInformation
Q6G. for education material,UsedPhoneEducation
Q6H. WhatsApp,UsedPhoneWhatssapp
Q7A. Social media/NDA,SocialMediaContactNDA
Q7A. Social media/UPA,SocialMediaContactUPA
Q7A. Social media/LJP,SocialMediaContactLJP
 Q7A. Social media/Others,SocialMediaContactOthers
Q7A. Social media/Independent,SocialMediaContactInd
 Q7B. Telephone Mobile/NDA,PhoneContactNDA
 Q7B. Telephone Mobile/UPA,PhoneContactUPA
 Q7C. Telephone Mobile/LJP,PhoneContactLJP
 Q7B. Telephone Mobile/Others,PhoneContactOthers
 Q7B. Telephone Mobile/Independent,PhoneContactInd
 Q7C. SMS on mobile/NDA,SMSContactNDA
 Q7C. SMS on mobile/UPA,SMSContactUPA
 Q7C. SMS on mobile/LJP,SMSContactLJP
 Q7C. SMS on mobile/Others,SMSContactOthers
 Q7C. SMS on mobile/Independent,SMSContactIndependent
 Q7D. WhatsApp/NDA,WhatsappContactNDA
 Q7D. WhatsApp/UPA,WhatsappContactUPA
 Q7D. WhatsApp/LJP,WhatsappContactLJP
 Q7D. WhatsApp/Others,WhatsappContactOthers
 Q7D. WhatsApp/Independent,WhatsappContactIndependent
 Q7E. Face to Face at home/NDA,F2FHomeContactNDA
 Q7E. Face to Face at home/UPA,F2FHomeContactUPA
 Q7E. Face to Face at home/LJP,F2FHomeContactLJP
 Q7E. Face to Face at home/Others,F2FHomeContactOthers
 Q7E. Face to Face at home/Independent,F2FHomeContactIndependent
 Q7F. Face to Face street/NDA,F2FStreetContactNDA
 Q7F. Face to Face street/UPA,F2FStreetContactUPA
 Q7F. Face to Face street/LJP,F2FStreetContactLJP
 Q7F. Face to Face street/Others,F2FStreetContactOthers
 Q7F. Face to Face street/Independent,F2FStreetContactIndependent
 Q7G. Road show/Pad yatra/NDA,RoadshowContactBJP
 Q7G. Road show/Pad yatra/UPA,RoadshowContactUPA
 Q7G. Road show/Pad yatra/LJP,RoadshowContactLJP
 Q7G. Road show/Pad yatra/Others,RoadshowContactOthers
 Q7G. Road show/Pad yatra/Independent,RoadshowContactInd
 Q7H. E-mail/NDA,EmailContactNDA
