Variable,Mean_Treated,Mean_Control,Flooding_b,Flooding_SE,p_value,Patna_b,Patna_SE,Patna_p,Adj_R2,N,Holm_p,BH_p,Bonferroni_p,orig_sig,holm_sig,BH_sig,Bonferroni_sig
RalliesNDA,0.49,0.48,-0.076,0.044,0.09,-0.15,0.048,0.0017,0.018,420,1,0.94,1,,,,
CreatedNDA,0.53,0.5,-0.069,0.045,0.13,-0.17,0.048,3.9e-4,0.026,420,1,0.94,1,,,,
total_rallies,0.44,0.44,-0.042,0.031,0.17,-0.078,0.032,0.015,0.008,420,1,0.94,1,,,,
CreatedUPA,0.46,0.41,0.044,0.035,0.21,-0.0092,0.037,0.8,0.0037,420,1,0.94,1,,,,
NDA_participation,0.52,0.48,-0.035,0.039,0.36,-0.13,0.04,0.001,0.025,420,1,0.94,1,,,,
RecirculatedUPA,0.48,0.42,0.034,0.039,0.37,-0.042,0.041,0.3,0.0069,420,1,0.94,1,,,,
UPA_participation,0.45,0.41,0.024,0.027,0.38,-0.015,0.028,0.59,0.0018,420,1,0.94,1,,,,
CommentedUPA,0.46,0.42,0.026,0.033,0.44,-0.02,0.036,0.58,5.6e-4,420,1,0.94,1,,,,
PostedUPA,0.44,0.42,0.022,0.032,0.5,0.0015,0.036,0.97,-0.0033,420,1,0.94,1,,,,
PostedNDA,0.5,0.46,-0.023,0.045,0.61,-0.1,0.048,0.036,0.0081,420,1,0.94,1,,,,
total_commented,0.49,0.44,0.013,0.032,0.69,-0.057,0.033,0.086,0.0099,420,1,0.94,1,,,,
total_created,0.49,0.46,-0.013,0.032,0.69,-0.09,0.032,0.005,0.019,420,1,0.94,1,,,,
total_recirculated,0.51,0.45,0.012,0.032,0.7,-0.097,0.033,0.0036,0.031,420,1,0.94,1,,,,
RalliesUPA,0.39,0.4,-0.0077,0.034,0.82,-0.0053,0.038,0.89,-0.0047,420,1,0.94,1,,,,
total_participation,0.48,0.45,-0.0059,0.026,0.82,-0.075,0.027,0.0062,0.02,420,1,0.94,1,,,,
RecirculatedNDA,0.55,0.47,-0.0096,0.045,0.83,-0.15,0.048,0.0014,0.03,420,1,0.94,1,,,,
total_posted,0.47,0.44,-6.9e-4,0.031,0.98,-0.05,0.033,0.13,0.0032,420,1,1,1,,,,
CommentedNDA,0.52,0.47,2.1e-4,0.044,1,-0.094,0.047,0.044,0.01,420,1,1,1,,,,
